Title,Genres,Status,User Score
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,3.06
Gintama: Dai Hanseikai,"['Action', 'Comedy', 'Parody', 'Samurai', 'Shounen']",Completed,3.8
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,"['Action', 'Comedy', 'Historical', 'Mecha', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,3.25
Gintama: Shinyaku Benizakura-hen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,3.5
Gintama: Shiroyasha Koutan,"['Action', 'Comedy', 'Historical', 'Parody', 'Sci-Fi']",Completed,3.7
Gintama: The Final,"['Action', 'Comedy', 'Drama', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,10.0
Gintama°,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Completed,10.0
Gintama°: Aizome Kaori-hen,"['Comedy', 'Gag Humor', 'Parody', 'Shounen']",Completed,3.0
Goblin Slayer,"['Action', 'Adventure', 'Fantasy', 'Gore']",Completed,8.0
Goblin Slayer II,"['Action', 'Adventure', 'Fantasy', 'Gore']",Completed,7.0
Gokushufudou,"['Adult Cast', 'Comedy', 'Gag Humor', 'Organized Crime']",Completed,6.0
Golden Time,"['Adult Cast', 'Drama', 'Love Polygon', 'Romance']",Completed,6.75
Grand Blue,"['Adult Cast', 'Comedy', 'Gag Humor', 'Seinen']",Completed,5.0
Great Pretender,"['Action', 'Adult Cast', 'Adventure', 'Mystery', 'Organized Crime']",Completed,9.0
Great Teacher Onizuka,"['Comedy', 'Delinquents', 'School', 'Shounen', 'Workplace']",Completed,9.0
Haiyore! Nyaruko-san,"['Comedy', 'Parody', 'Sci-Fi']",Completed,10.0
Haiyore! Nyaruko-san F,"['Comedy', 'Parody', 'Romance', 'Sci-Fi']",Completed,9.0
Haiyore! Nyaruko-san W,"['Comedy', 'Parody', 'Sci-Fi']",Completed,9.0
Hametsu no Mars,"['Action', 'Gore', 'Horror', 'Military', 'Sci-Fi']",Completed,1.0
