Title,Genres,Median Score
Tengen Toppa Gurren Lagann,"['Action', 'Adventure', 'Award Winning', 'Mecha', 'Sci-Fi']",
Made in Abyss: Retsujitsu no Ougonkyou,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",
Ping Pong the Animation,"['Award Winning', 'Drama', 'Seinen', 'Sports']",
Death Note,"['Psychological', 'Shounen', 'Supernatural', 'Suspense']",
Haikyuu!! Second Season,"['School', 'Shounen', 'Sports', 'Team Sports']",
"""Oshi no Ko"" 2nd Season","['Drama', 'Reincarnation', 'Seinen', 'Showbiz']",
Cyberpunk: Edgerunners,"['Action', 'Gore', 'Organized Crime', 'Sci-Fi']",
Hajime no Ippo: Rising,"['Combat Sports', 'Shounen', 'Sports']",
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",
Natsume Yuujinchou Roku,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Kenpuu Denki Berserk,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Seinen']",
Suzumiya Haruhi no Shoushitsu,"['Award Winning', 'Mystery', 'School', 'Sci-Fi', 'Supernatural']",
Shin Evangelion Movie:||,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']",
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"['Action', 'Adventure', 'Organized Crime', 'Shounen', 'Super Power']",
Mushishi Zoku Shou: Suzu no Shizuku,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",
Natsume Yuujinchou Shichi,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Natsume Yuujinchou San,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Doupo Cangqiong: San Nian Zhi Yue,"['Action', 'Fantasy', 'Martial Arts']",
