Title,Genres,Median Score
Golden Kamuy 2nd Season,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']",
Gyakkyou Burai Kaiji: Hakairoku-hen,"['Adult Cast', 'High Stakes Game', 'Psychological', 'Seinen', 'Strategy Game', 'Suspense']",
Haikyuu!! Movie 4: Concept no Tatakai,"['School', 'Shounen', 'Sports', 'Team Sports']",
Hajime no Ippo: Mashiba vs. Kimura,"['Combat Sports', 'Shounen', 'Sports']",
Kobayashi-san Chi no Maid Dragon S,"['Slice of Life', 'Supernatural']",
Meitantei Conan: Episode One - Chiisaku Natta Meitantei,"['Adventure', 'Comedy', 'Detective', 'Mystery', 'Shounen']",
Non Non Biyori Movie: Vacation,"['CGDCT', 'Iyashikei', 'Seinen', 'Slice of Life']",
Kamisama Hajimemashita◎,"['Comedy', 'Mythology', 'Romance', 'Shoujo', 'Supernatural']",
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Space']",
Majo no Takkyuubin,"['Adventure', 'Award Winning', 'Comedy', 'Drama', 'Fantasy']",
Mushoku Tensei II: Isekai Ittara Honki Dasu,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",
Shen Yin Wangzuo 2nd Season,"['Action', 'Adventure', 'Fantasy']",
Spy x Family Part 2,"['Action', 'Childcare', 'Comedy', 'Shounen', 'Super Power']",
Wu Liuqi: Zui Qiang Fa Xing Shi,"['Action', 'Comedy', 'Drama', 'Martial Arts', 'Mystery', 'Super Power']",
Youjo Senki Movie,"['Action', 'Fantasy', 'Isekai', 'Military', 'Reincarnation']",
Bakemono no Ko,"['Adventure', 'Anthropomorphic', 'Fantasy', 'Isekai']",
Bocchi the Rock! Movie,"['CGDCT', 'Comedy', 'Music']",
IDOLiSH7 Third Beat!,"['Drama', 'Idols (Male)', 'Music']",
BanG Dream! It's MyGO!!!!!,"['Drama', 'Music']",
Kono Sekai no Katasumi ni,"['Award Winning', 'Drama', 'Historical', 'Seinen']",
Liz to Aoi Tori,"['Award Winning', 'Drama', 'Music', 'Performing Arts', 'School']",
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"['Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",
Mimi wo Sumaseba,"['Drama', 'Romance', 'Shoujo']",
Nodame Cantabile Finale,"['Adult Cast', 'Comedy', 'Josei', 'Music', 'Romance']",
Shoujo Kakumei Utena,"['Award Winning', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Mystery', 'Psychological', 'School', 'Suspense']",
Shoujo Shuumatsu Ryokou,"['Adventure', 'CGDCT', 'Iyashikei', 'Mystery', 'Sci-Fi', 'Slice of Life']",
Trigun,"['Action', 'Adult Cast', 'Adventure', 'Sci-Fi', 'Shounen']",
Yubisaki to Renren,"['Adult Cast', 'Romance', 'Shoujo']",
SKET Dance,"['Comedy', 'School', 'Shounen']",
Berserk: Ougon Jidai-hen III - Kourin,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Seinen']",
Blue Lock,"['Shounen', 'Sports', 'Team Sports']",
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"['Award Winning', 'Comedy', 'Drama', 'Mahou Shoujo', 'Romance', 'Shoujo']",
Fruits Basket 1st Season,"['Drama', 'Love Polygon', 'Romance', 'School', 'Shoujo', 'Supernatural']",
Magi: The Kingdom of Magic,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Major S1,"['Shounen', 'Sports', 'Team Sports']",
Major S3,"['Shounen', 'Sports', 'Team Sports']",
Ookami to Koushinryou,"['Adult Cast', 'Adventure', 'Drama', 'Romance', 'Supernatural']",
Kimetsu no Yaiba: Katanakaji no Sato-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",
Kuroko no Basket 2nd Season,"['School', 'Shounen', 'Sports', 'Team Sports']",
Meitantei Conan Movie 13: Shikkoku no Chaser,"['Action', 'Detective', 'Mystery', 'Shounen']",
Quanzhi Gaoshou Specials,"['Action', 'Video Game']",
Sasaki to Miyano,"['Boys Love', 'Otaku Culture', 'School']",
Senki Zesshou Symphogear XV,"['Action', 'Idols (Female)', 'Music', 'Sci-Fi']",
xxxHOLiC◆Kei,"['Comedy', 'Drama', 'Mystery', 'Seinen', 'Supernatural']",
Bungou Stray Dogs 3rd Season,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power']",
Fanren Xiu Xian Chuan 3rd Season,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",
Fate/strange Fake: Whispers of Dawn,"['Action', 'Fantasy', 'Urban Fantasy']",
InuYasha: Kanketsu-hen,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Love Polygon', 'Mythology', 'Romance', 'Shounen', 'Time Travel']",
Dragon Ball Super: Broly,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",
Dragon Ball Z,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen']",
Hachimitsu to Clover II,"['Adult Cast', 'Drama', 'Josei', 'Love Polygon', 'Romance', 'Visual Arts']",
Maison Ikkoku,"['Adult Cast', 'Comedy', 'Drama', 'Romance', 'Seinen']",
Mo Dao Zu Shi Q,"['Comedy', 'Fantasy', 'Historical', 'Mythology', 'Reincarnation']",
One Piece Movie 14: Stampede,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Vanitas no Karte Part 2,"['Action', 'Fantasy', 'Historical', 'Mystery', 'Shounen', 'Urban Fantasy', 'Vampire']",
Wu Liuqi: Anying Suming,"['Action', 'Adventure', 'Comedy', 'Drama', 'Martial Arts', 'Mystery', 'Super Power']",
Xian Ni,"['Action', 'Adventure', 'Fantasy', 'Historical']",
Stand By Me Doraemon 2,"['Comedy', 'Kids', 'Sci-Fi', 'Time Travel']",
xxxHOLiC Rou,"['Drama', 'Mystery', 'Seinen', 'Supernatural']",
Yojouhan Time Machine Blues,"['Adult Cast', 'Comedy', 'Mystery', 'Psychological', 'Romance', 'Suspense', 'Time Travel']",
Yoru wa Mijikashi Arukeyo Otome,"['Adult Cast', 'Comedy', 'Romance']",
Ballroom e Youkoso,"['Performing Arts', 'Shounen', 'Sports']",
Cang Yuan Tu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",
Chihayafuru,"['Drama', 'Josei', 'Love Polygon', 'School', 'Sports', 'Strategy Game']",
Fate/stay night: Unlimited Blade Works,"['Action', 'Fantasy', 'Urban Fantasy']",
Girls & Panzer Movie,"['Action', 'Award Winning', 'CGDCT', 'Military', 'School']",
Haikyuu!! Movie 3: Sainou to Sense,"['School', 'Shounen', 'Sports', 'Team Sports']",
Hunter x Hunter: Greed Island,"['Action', 'Adventure', 'Fantasy', 'Shounen']",
Initial D Second Stage,"['Action', 'Drama', 'Racing', 'Seinen']",
Major S2,"['Shounen', 'Sports', 'Team Sports']",
Major S4,"['Shounen', 'Sports', 'Team Sports']",
Make Heroine ga Oosugiru!,"['Comedy', 'Romance', 'School']",
Meitantei Conan Movie 20: Junkoku no Nightmare,"['Action', 'Detective', 'Mystery', 'Shounen']",
Nomad: Megalo Box 2,"['Adult Cast', 'Combat Sports', 'Sci-Fi', 'Sports']",
Non Non Biyori Repeat,"['CGDCT', 'Iyashikei', 'School', 'Seinen', 'Slice of Life']",
K-On!!,"['Award Winning', 'CGDCT', 'Comedy', 'Music', 'School']",
Kotarou wa Hitorigurashi,"['Childcare', 'Seinen', 'Slice of Life']",
Little Busters! Refrain,"['Comedy', 'Drama', 'Romance', 'School']",
Made in Abyss Movie 1: Tabidachi no Yoake,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",
Meitantei Conan,"['Adventure', 'Comedy', 'Detective', 'Mystery', 'Shounen']",
Yuukoku no Moriarty,"['Adult Cast', 'Historical', 'Mystery', 'Organized Crime', 'Psychological', 'Shounen', 'Suspense']",
Ao Ashi,"['Seinen', 'Sports', 'Team Sports']",
Bakuman.,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']",
Black Lagoon: The Second Barrage,"['Action', 'Adult Cast', 'Organized Crime', 'Seinen']",
Bungou Stray Dogs 2nd Season,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power']",
Cardcaptor Sakura,"['Adventure', 'Comedy', 'Drama', 'Mahou Shoujo', 'Romance', 'School', 'Shoujo']",
Digimon Adventure: Last Evolution Kizuna,"['Action', 'Adventure', 'Comedy', 'Drama']",
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']",
Girls & Panzer: Saishuushou Part 3,"['CGDCT', 'Military', 'School']",
Holo no Graffiti,['Comedy'],
Initial D Fourth Stage,"['Action', 'Drama', 'Racing', 'Seinen']",
Akira,"['Action', 'Gore', 'Horror', 'Military', 'Sci-Fi', 'Seinen', 'Super Power']",
Aria the Natural,"['Fantasy', 'Iyashikei', 'Sci-Fi', 'Shounen', 'Slice of Life']",
Dr. Stone: Stone Wars,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Survival']",
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"['Action', 'Fantasy', 'Urban Fantasy']",
Horimiya: Piece,"['Romance', 'School', 'Shounen']",
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru","['Comedy', 'Fantasy', 'Mythology', 'Romance', 'Shoujo']",
Lycoris Recoil,['Action'],
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",
Ouran Koukou Host Club,"['Comedy', 'Crossdressing', 'Reverse Harem', 'Romance', 'School', 'Shoujo']",
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Video Game']",
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,"['Action', 'Mecha', 'Sci-Fi']",
Yi Nian Yong Heng: Chuan Cheng Pian,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",
Toaru Kagaku no Railgun T,"['Action', 'Fantasy', 'Sci-Fi', 'Super Power']",
Dr. Stone: New World,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']",
Dr. Stone: Ryuusui,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']",
Lupin III: Cagliostro no Shiro,"['Action', 'Adult Cast', 'Adventure', 'Award Winning', 'Comedy', 'Mystery', 'Seinen']",
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,"['CGDCT', 'Iyashikei', 'Seinen', 'Slice of Life']",
Kaiba,"['Adventure', 'Avant Garde', 'Award Winning', 'Mystery', 'Psychological', 'Romance', 'Sci-Fi']",
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,"['Action', 'Romance', 'School', 'Supernatural']",
Major: Message,"['Shounen', 'Sports', 'Team Sports']",
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",
Shinigami Bocchan to Kuro Maid 3rd Season,"['Comedy', 'Fantasy', 'Love Status Quo', 'Romance', 'Urban Fantasy']",
Spy x Family Movie: Code: White,"['Action', 'Childcare', 'Comedy', 'Shounen', 'Super Power']",
Working!!! Lord of the Takanashi,"['Comedy', 'Romance', 'Seinen', 'Workplace']",
Black Clover,"['Action', 'Fantasy', 'Shounen']",
Eiga Daisuki Pompo-san,"['Comedy', 'Drama', 'Showbiz']",
Eizouken ni wa Te wo Dasu na!,"['Adventure', 'Award Winning', 'Comedy', 'Otaku Culture', 'School', 'Seinen']",
Ginga Eiyuu Densetsu Gaiden,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",
Given: Uragawa no Sonzai,"['Boys Love', 'Drama', 'Music', 'School']",
IDOLiSH7 Second Beat!,"['Drama', 'Idols (Male)', 'Music']",
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,"['Adult Cast', 'Adventure', 'Drama', 'Music', 'Sci-Fi']",
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",
Lupin III: Part 5,"['Action', 'Adult Cast', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",
Nisemonogatari,"['Comedy', 'Ecchi', 'Mystery', 'Supernatural']",
Nodame Cantabile: Paris-hen,"['Adult Cast', 'Comedy', 'Josei', 'Music', 'Romance']",
Princess Tutu,"['Anthropomorphic', 'Drama', 'Love Polygon', 'Mahou Shoujo', 'Mystery', 'Performing Arts', 'Romance']",
Shokugeki no Souma,"['Ecchi', 'Gourmet', 'School', 'Shounen']",
Seirei no Moribito,"['Action', 'Adventure', 'Fantasy']",
Skip to Loafer,"['Drama', 'School', 'Seinen']",
Gankutsuou,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Suspense']",
Given Movie 1,"['Boys Love', 'Drama', 'Music']",
Golden Kamuy 4th Season,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']",
Katekyou Hitman Reborn!,"['Action', 'Comedy', 'Organized Crime', 'Shounen', 'Super Power']",
Kaze Tachinu,"['Award Winning', 'Drama', 'Historical', 'Romance']",
Kimetsu no Yaiba: Hashira Geiko-hen,"['Action', 'Historical', 'Shounen', 'Supernatural']",
Paripi Koumei,"['Adult Cast', 'Comedy', 'Music', 'Reincarnation', 'Showbiz']",
Precure All Stars Movie F,"['Action', 'Mahou Shoujo']",
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"['Action', 'Adventure', 'Shounen', 'Super Power']",
Kamisama Hajimemashita,"['Comedy', 'Mythology', 'Romance', 'Shoujo', 'Supernatural']",
Kuragehime,"['Adult Cast', 'Comedy', 'Crossdressing', 'Josei', 'Visual Arts']",
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,"['Action', 'Comedy', 'Drama', 'Mahou Shoujo', 'Sci-Fi']",
Meitantei Conan Movie 05: Tengoku e no Countdown,"['Adventure', 'Comedy', 'Detective', 'Mystery', 'Shounen']",
