Title,Genres,Status,User Score
Bokusatsu Tenshi Dokuro-chan,"['Comedy', 'Ecchi', 'Gag Humor', 'Gore', 'Supernatural']",Completed,10
Bokusatsu Tenshi Dokuro-chan 2,"['Comedy', 'Ecchi', 'Gag Humor', 'Gore', 'Supernatural']",Completed,0
Bokutachi wa Benkyou ga Dekinai,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed,0
Bokutachi wa Benkyou ga Dekinai!,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed,0
Busou Shoujo Machiavellianism,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Shounen']",Completed,9
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou","['Action', 'Ecchi', 'School', 'Shounen']",Completed,0
Chainsaw Man,"['Action', 'Fantasy', 'Gore', 'Shounen', 'Urban Fantasy']",Completed,8
Charlotte,"['Drama', 'School', 'Super Power']",Completed,8
Charlotte: Tsuyoimono-tachi,"['Drama', 'School', 'Super Power']",Completed,7
Chio-chan no Tsuugakuro,"['Comedy', 'Seinen']",Completed,0
Chiyu Mahou no Machigatta Tsukaikata,"['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed,6
Chuunibyou demo Koi ga Shitai!,"['Comedy', 'Romance', 'School']",Completed,10
Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,"['Comedy', 'Romance', 'School']",Completed,8
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"['Comedy', 'Drama', 'Romance', 'School']",Completed,0
Chuunibyou demo Koi ga Shitai! Ren,"['Comedy', 'Romance', 'School']",Completed,8
Clannad,"['Drama', 'Romance', 'School']",Completed,8
Clannad: After Story,"['Drama', 'Romance']",Completed,10
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","['Drama', 'Romance', 'School']",Completed,7
Cyclops Shoujo Saipuu,"['Comedy', 'Ecchi', 'School', 'Slice of Life']",Completed,0
D-Frag!,"['Comedy', 'School', 'Seinen', 'Strategy Game']",Completed,0
D-Frag!*,"['Comedy', 'Seinen']",Completed,0
Dagashi Kashi,"['Comedy', 'Gourmet', 'Love Status Quo', 'Shounen']",Completed,8
Dagashi Kashi 2,"['Comedy', 'Gourmet', 'Love Status Quo', 'Shounen']",Completed,5
Danna ga Nani wo Itteiru ka Wakaranai Ken,"['Adult Cast', 'Comedy', 'Otaku Culture', 'Romance']",Completed,0
Danshi Koukousei no Nichijou,"['Comedy', 'Gag Humor', 'School']",Completed,8
Darling in the FranXX,"['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",Completed,3
Date A Live,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']",Completed,7
Date A Live II,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']",Completed,7
Date A Live III,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']",Completed,0
Death Parade,"['Adult Cast', 'Drama', 'Fantasy', 'High Stakes Game', 'Psychological', 'Suspense']",Completed,8
Demi-chan wa Kataritai,"['Comedy', 'Fantasy', 'Mythology', 'School', 'Seinen', 'Urban Fantasy', 'Vampire']",Completed,9
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,"['Comedy', 'Fantasy', 'Mythology', 'School', 'Seinen', 'Urban Fantasy', 'Vampire']",Completed,0
Denki-gai no Honya-san,"['Comedy', 'Otaku Culture', 'Seinen', 'Workplace']",Completed,0
Denpa Onna to Seishun Otoko,"['Comedy', 'Sci-Fi']",Completed,0
