Title,Genres,Status
Log Horizon,"['Action', 'Adult Cast', 'Adventure', 'Fantasy', 'Video Game']",Completed
Lv1 Maou to One Room Yuusha,"['Comedy', 'Fantasy', 'Urban Fantasy']",Completed
Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,"['Adventure', 'Fantasy', 'Isekai', 'Romance']",Completed
Mairimashita! Iruma-kun,"['Comedy', 'Fantasy', 'Isekai', 'School', 'Shounen']",Completed
Majo no Tabitabi,"['Adventure', 'Fantasy']",Completed
Majo to Yajuu,"['Action', 'Adult Cast', 'Fantasy', 'Gore', 'Seinen', 'Urban Fantasy']",Completed
Mamahaha no Tsurego ga Motokano datta,"['Comedy', 'Romance']",Completed
Mangaka-san to Assistant-san to The Animation,"['Comedy', 'Ecchi', 'Harem', 'Seinen']",Completed
Mangaka-san to Assistant-san to The Animation Specials,"['Comedy', 'Ecchi', 'Harem', 'Seinen']",Completed
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","['Action', 'Fantasy', 'Reincarnation', 'School']",Completed
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?","['Action', 'Fantasy', 'Romance']",Completed
"Maou-sama, Retry!","['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed
Maoujou de Oyasumi,"['Comedy', 'Fantasy', 'Parody', 'Shounen']",Completed
Maria†Holic,"['Comedy', 'Crossdressing', 'Girls Love', 'Parody', 'School', 'Seinen']",Completed
Maria†Holic Alive,"['Comedy', 'Crossdressing', 'Girls Love', 'Parody', 'School', 'Seinen']",Completed
Masamune-kun no Revenge,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
Masamune-kun no Revenge R,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
"Masamune-kun no Revenge: Uchi no Mama ni Kagitte/Tsunade Shima, Futatabi./12-Ji wo Sugita Cinderella","['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
Mashle,"['Action', 'Comedy', 'Fantasy', 'Gag Humor', 'Parody', 'School', 'Shounen']",Completed
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,"['Action', 'Comedy', 'Fantasy', 'Gag Humor', 'Parody', 'School', 'Shounen']",Completed
Mato Seihei no Slave,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Shounen', 'Urban Fantasy']",Completed
Meikyuu Black Company,"['Comedy', 'Fantasy', 'Isekai']",Completed
Midara na Ao-chan wa Benkyou ga Dekinai,"['Comedy', 'Ecchi', 'Romance', 'School', 'Shounen']",Completed
Mieruko-chan,"['Comedy', 'Horror', 'School']",Completed
Mikakunin de Shinkoukei,"['Comedy', 'Romance', 'School', 'Supernatural']",Completed
Mirai Nikki,"['Action', 'High Stakes Game', 'Shounen', 'Supernatural', 'Survival', 'Suspense']",Completed
Mirai Nikki (TV),"['Action', 'Gore', 'High Stakes Game', 'Psychological', 'Shounen', 'Supernatural', 'Survival', 'Suspense']",Completed
Mirai Nikki: Redial,"['Psychological', 'Shounen', 'Supernatural', 'Suspense']",Completed
MM!,"['Comedy', 'Ecchi', 'Harem', 'School']",Completed
Mob Psycho 100,"['Action', 'Comedy', 'Supernatural']",Completed
Mob Psycho 100 II,"['Action', 'Comedy', 'Supernatural']",Completed
Momokuri,"['Comedy', 'Romance', 'School']",Completed
Monster,"['Adult Cast', 'Drama', 'Mystery', 'Psychological', 'Seinen', 'Suspense']",Completed
Monster Musume no Iru Nichijou,"['Anthropomorphic', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Seinen', 'Urban Fantasy']",Completed
Munou na Nana,"['Psychological', 'Shounen', 'Super Power', 'Suspense']",Completed
Mushoku Tensei: Isekai Ittara Honki Dasu,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",Completed
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",Completed
Nakitai Watashi wa Neko wo Kaburu,"['Award Winning', 'Drama', 'Romance', 'School', 'Supernatural']",Completed
Nanatsu no Taizai,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Completed
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Completed
Nanatsu no Taizai OVA,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Completed
Nanatsu no Taizai: Imashime no Fukkatsu,"['Action', 'Adventure', 'Fantasy', 'Shounen']",Completed
Naruto,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",Completed
Naruto: Shippuuden,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",Completed
Net-juu no Susume,"['Adult Cast', 'Comedy', 'Romance', 'Video Game']",Completed
Netoge no Yome wa Onnanoko ja Nai to Omotta?,"['Comedy', 'Ecchi', 'Otaku Culture', 'Romance', 'School', 'Video Game']",Completed
New Game!,"['Adult Cast', 'CGDCT', 'Comedy', 'Otaku Culture', 'Workplace']",Completed
NHK ni Youkoso!,"['Adult Cast', 'Comedy', 'Drama', 'Otaku Culture', 'Psychological', 'Romance', 'Suspense']",Completed
Nisekoi,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
Nisekoi OVA,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
Nisekoi:,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Completed
Nisekoi: OVA,"['Comedy', 'Harem', 'Parody', 'Romance', 'Shounen']",Completed
No Game No Life,"['Comedy', 'Ecchi', 'Fantasy', 'Isekai', 'Strategy Game']",Completed
No Game No Life: Zero,"['Drama', 'Fantasy', 'Isekai', 'Romance']",Completed
Noragami,"['Action', 'Mythology', 'Shounen', 'Supernatural']",Completed
Noragami Aragoto,"['Action', 'Mythology', 'Shounen', 'Supernatural']",Completed
Noragami OVA,"['Comedy', 'Mythology', 'School', 'Shounen', 'Supernatural']",Completed
Nozomanu Fushi no Boukensha,"['Action', 'Adventure', 'Fantasy']",Completed
One Punch Man,"['Action', 'Adult Cast', 'Comedy', 'Parody', 'Seinen', 'Super Power']",Completed
One Punch Man 2nd Season,"['Action', 'Adult Cast', 'Comedy', 'Parody', 'Seinen', 'Super Power']",Completed
One Punch Man: Road to Hero,"['Action', 'Comedy', 'Parody', 'Seinen', 'Super Power']",Completed
"One Room, Hiatari Futsuu, Tenshi-tsuki.","['Comedy', 'Harem', 'Mythology', 'Romance', 'School', 'Shounen', 'Supernatural']",Completed
Onegai☆Teacher,"['Drama', 'Romance', 'School', 'Sci-Fi']",Completed
Onegai☆Teacher: Himitsu na Futari,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",Completed
Ookami Shoujo to Kuro Ouji,"['Comedy', 'Romance', 'School', 'Shoujo']",Completed
Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss,"['Comedy', 'Romance', 'School', 'Shoujo']",Completed
Ookami-san to Shichinin no Nakama-tachi,"['Comedy', 'Parody', 'Romance']",Completed
Orange,"['Drama', 'Love Polygon', 'Romance', 'School', 'Sci-Fi', 'Shoujo', 'Time Travel']",Completed
Ore dake Haireru Kakushi Dungeon,"['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem']",Completed
Ore dake Level Up na Ken,"['Action', 'Adult Cast', 'Adventure', 'Fantasy', 'Urban Fantasy']",Completed
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken","['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",Completed
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken Specials","['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",Completed
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,"['Comedy', 'Ecchi', 'Romance']",Completed
Ore Monogatari!!,"['Comedy', 'Romance', 'Shoujo']",Completed
Ore no Imouto ga Konnani Kawaii Wake ga Nai,"['Comedy', 'Otaku Culture']",Completed
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"['Comedy', 'Otaku Culture', 'Romance']",Completed
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,"['Comedy', 'Otaku Culture', 'Romance']",Completed
Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,"['Comedy', 'Otaku Culture', 'Romance']",Completed
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"['Comedy', 'Harem', 'Romance', 'School']",Completed
"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai","['Action', 'Adventure', 'Fantasy']",Completed
Ore wo Suki nano wa Omae dake ka yo,"['Comedy', 'Harem', 'Romance', 'School']",Completed
Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,"['Comedy', 'Romance', 'School']",Completed
Oroka na Tenshi wa Akuma to Odoru,"['Comedy', 'Love Status Quo', 'Mythology', 'School', 'Seinen', 'Supernatural']",Completed
Osake wa Fuufu ni Natte kara,"['Adult Cast', 'Comedy', 'Gourmet', 'Romance']",Completed
Oshiete! Galko-chan,"['Comedy', 'School']",Completed
Oshiete! Galko-chan: Natsuyasumi tte Hontou desu ka?,['Comedy'],Completed
Osomatsu-san,"['Comedy', 'Gag Humor', 'Parody']",Completed
Osomatsu-san Special,"['Comedy', 'Gag Humor', 'Parody']",Completed
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,"['Comedy', 'Fantasy', 'Isekai', 'Reverse Harem', 'Romance', 'School', 'Shoujo', 'Villainess']",Completed
Otome Game Sekai wa Mob ni Kibishii Sekai desu,"['Action', 'Fantasy', 'Harem', 'Isekai', 'Mecha', 'Reincarnation', 'Romance', 'School']",Completed
Otonari ni Ginga,"['Childcare', 'Otaku Culture', 'Romance', 'Seinen', 'Supernatural']",Completed
Ousama Ranking,"['Adventure', 'Fantasy']",Completed
Outbreak Company,"['Comedy', 'Fantasy', 'Harem', 'Isekai', 'Otaku Culture', 'Parody']",Completed
Overlord,"['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed
Overlord II,"['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed
Overlord III,"['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed
Overlord IV,"['Action', 'Adventure', 'Fantasy', 'Isekai']",Completed
Overlord: Ple Ple Pleiades,"['Action', 'Comedy', 'Fantasy', 'Isekai']",Completed
Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki,"['Action', 'Comedy', 'Fantasy', 'Isekai']",Completed
Owari no Seraph,"['Action', 'Drama', 'Fantasy', 'Military', 'Shounen', 'Urban Fantasy', 'Vampire']",Completed
Owari no Seraph: Nagoya Kessen-hen,"['Action', 'Drama', 'Fantasy', 'Military', 'Shounen', 'Urban Fantasy', 'Vampire']",Completed
Plastic Memories,"['Drama', 'Romance', 'Sci-Fi']",Completed
Prison School: Mad Wax,"['Comedy', 'Ecchi', 'Gag Humor', 'School', 'Seinen']",Completed
Rakudai Kishi no Cavalry,"['Action', 'Ecchi', 'Fantasy', 'Romance', 'School', 'Urban Fantasy']",Completed
Re:Zero kara Hajimeru Isekai Seikatsu,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']",Completed
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,"['Drama', 'Fantasy', 'Psychological', 'Suspense']",Completed
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,"['Fantasy', 'Isekai']",Completed
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']",Completed
ReLIFE,"['Drama', 'Romance', 'School']",Completed
ReLIFE: Kanketsu-hen,"['Drama', 'Romance', 'School']",Completed
Renai Boukun,"['Comedy', 'Harem', 'Romance', 'School', 'Supernatural']",Completed
Renai Flops,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Sci-Fi']",Completed
Rikei ga Koi ni Ochita no de Shoumei shitemita.,"['Adult Cast', 'Comedy', 'Romance']",Completed
Romantic Killer,"['Comedy', 'Parody', 'Reverse Harem', 'Romance', 'Shounen', 'Supernatural']",Completed
Runway de Waratte,"['Drama', 'School', 'Shounen', 'Showbiz', 'Visual Arts']",Completed
Saenai Heroine no Sodatekata,"['Comedy', 'Ecchi', 'Harem', 'Otaku Culture', 'Romance', 'School']",Completed
Saenai Heroine no Sodatekata ♭,"['Comedy', 'Ecchi', 'Harem', 'Otaku Culture', 'Romance', 'School']",Completed
Saenai Heroine no Sodatekata Fine,"['Comedy', 'Harem', 'Otaku Culture', 'Romance', 'School']",Completed
Saiki Kusuo no Ψ-nan,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power']",Completed
Saiki Kusuo no Ψ-nan (ONA),"['Comedy', 'School', 'Shounen', 'Super Power']",Completed
Saiki Kusuo no Ψ-nan 2,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power']",Completed
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power']",Completed
Saiki Kusuo no Ψ-nan: Kanketsu-hen,"['Comedy', 'Gag Humor', 'School', 'Shounen', 'Super Power']",Completed
Saikin Yatotta Maid ga Ayashii,"['Comedy', 'Love Status Quo', 'Romance', 'Shounen']",Completed
Sakamoto desu ga?,"['Comedy', 'Gag Humor', 'School', 'Seinen']",Completed
Sakamoto desu ga? Sakamoto deshita?,"['Comedy', 'Gag Humor', 'School', 'Seinen']",Completed
Sakura Trick,"['Comedy', 'Girls Love', 'School', 'Seinen']",Completed
Sakura-sou no Pet na Kanojo,"['Drama', 'Romance', 'School', 'Visual Arts']",Completed
Sankarea OVA,"['Comedy', 'Ecchi', 'Horror', 'Love Polygon', 'Romance', 'Shounen', 'Supernatural']",Completed
Sankarea: Wagahai mo... Zombie de Aru...,"['Comedy', 'Ecchi', 'Horror', 'Love Polygon', 'Romance', 'Shounen', 'Supernatural']",Completed
Sasaki to Pii-chan,"['Adventure', 'Comedy', 'Fantasy', 'Isekai']",Completed
Sayonara Zetsubou Sensei,"['Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']",Completed
School Days,"['Drama', 'Harem', 'Romance', 'School']",Completed
School Rumble,"['Comedy', 'Gag Humor', 'Love Polygon', 'Romance', 'School', 'Shounen']",Completed
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi","['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",Completed
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['Drama', 'Romance', 'School', 'Supernatural']",Completed
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['Drama', 'Romance', 'School', 'Supernatural']",Completed
Seitokai no Ichizon,"['Comedy', 'Harem', 'Parody', 'School']",Completed
Seitokai no Ichizon Lv.2,"['Comedy', 'Harem', 'Parody', 'School']",Completed
Seitokai Yakuindomo,"['Comedy', 'Gag Humor', 'School', 'Shounen']",Completed
Sekai Seifuku: Bouryaku no Zvezda,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Super Power']",Completed
Senpai ga Uzai Kouhai no Hanashi,"['Adult Cast', 'Comedy', 'Love Status Quo', 'Workplace']",Completed
Senryuu Shoujo,"['Comedy', 'Love Status Quo', 'School', 'Shounen']",Completed
"Sentouin, Hakenshimasu!","['Action', 'Comedy', 'Fantasy', 'Isekai', 'Sci-Fi']",Completed
Serial Experiments Lain,"['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Psychological', 'Sci-Fi', 'Supernatural', 'Suspense']",Completed
Servant x Service,"['Adult Cast', 'Comedy', 'Seinen', 'Workplace']",Completed
Seto no Hanayome,"['Comedy', 'Organized Crime', 'Parody', 'Romance', 'School', 'Shounen', 'Supernatural']",Completed
Seto no Hanayome OVA,"['Comedy', 'Organized Crime', 'Parody', 'Romance', 'School', 'Shounen', 'Supernatural']",Completed
Seto no Hanayome OVA Specials,"['Comedy', 'Parody', 'School']",Completed
Sewayaki Kitsune no Senko-san,"['Iyashikei', 'Slice of Life', 'Supernatural']",Completed
Shigatsu wa Kimi no Uso,"['Drama', 'Love Polygon', 'Music', 'Romance', 'School', 'Shounen']",Completed
Shigatsu wa Kimi no Uso: Moments,"['Music', 'Shounen']",Completed
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru","['Action', 'Fantasy', 'Harem', 'Reincarnation', 'School']",Completed
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"['Comedy', 'Ecchi', 'Gag Humor', 'School']",Completed
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Shinseiki Evangelion,"['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",Completed
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","['Action', 'Avant Garde', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",Completed
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody']",Completed
Sono Bisque Doll wa Koi wo Suru,"['Otaku Culture', 'Romance', 'School', 'Seinen']",Completed
Sounan desu ka?,"['Adventure', 'CGDCT', 'Comedy', 'Seinen', 'Survival', 'Suspense']",Completed
Sousou no Frieren,"['Adventure', 'Drama', 'Fantasy', 'Shounen']",Completed
Special A,"['Comedy', 'Romance', 'School', 'Shoujo']",Completed
Spy x Family,"['Action', 'Award Winning', 'Childcare', 'Comedy', 'Shounen', 'Super Power']",Completed
Summertime Render,"['Mystery', 'Shounen', 'Supernatural', 'Suspense', 'Time Travel']",Completed
Suntory Minami Alps no Tennensui,['Slice of Life'],Completed
Sword Art Online,"['Action', 'Adventure', 'Fantasy', 'Love Polygon', 'Romance', 'Video Game']",Completed
Sword Art Online Alternative: Gun Gale Online,"['Action', 'Military', 'Video Game']",Completed
Sword Art Online II,"['Action', 'Adventure', 'Fantasy', 'Love Polygon', 'Romance', 'Video Game']",Completed
Sword Art Online Movie: Ordinal Scale,"['Action', 'Adventure', 'Sci-Fi', 'Video Game']",Completed
Sword Art Online: Alicization,"['Action', 'Adventure', 'Fantasy', 'Video Game']",Completed
Tada-kun wa Koi wo Shinai,"['Comedy', 'Romance', 'School', 'Visual Arts']",Completed
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,"['Comedy', 'Romance', 'School']",Completed
Tanaka-kun wa Itsumo Kedaruge,"['Iyashikei', 'School', 'Slice of Life']",Completed
Tate no Yuusha no Nariagari,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']",Completed
Tengoku Daimakyou,"['Adventure', 'Mystery', 'Sci-Fi', 'Seinen']",Completed
Tensai Ouji no Akaji Kokka Saisei Jutsu,"['Comedy', 'Fantasy']",Completed
"Tensei Kizoku, Kantei Skill de Nariagaru","['Adventure', 'Fantasy', 'Isekai', 'Reincarnation']",Completed
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu","['Adventure', 'Fantasy', 'Reincarnation']",Completed
Tensei shitara Ken deshita,"['Action', 'Adventure', 'Fantasy', 'Isekai', 'Reincarnation']",Completed
Tensei shitara Slime Datta Ken,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']",Completed
Tenshi no 3P!,"['Music', 'School']",Completed
The Last: Naruto the Movie,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Shounen']",Completed
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,"['Comedy', 'Romance', 'School']",Completed
Tokyo Ghoul,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen', 'Suspense', 'Urban Fantasy']",Completed
Tokyo Ghoul √A,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen', 'Suspense', 'Urban Fantasy']",Completed
Tokyo Ghoul:re,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen', 'Suspense', 'Urban Fantasy']",Completed
Tokyo Ghoul:re 2nd Season,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen', 'Suspense', 'Urban Fantasy']",Completed
Tokyo Revengers,"['Action', 'Delinquents', 'Drama', 'Shounen', 'Time Travel']",Completed
Tomo-chan wa Onnanoko!,"['Comedy', 'Romance', 'School']",Completed
Tomodachi Game,"['High Stakes Game', 'Psychological', 'Shounen', 'Strategy Game', 'Suspense']",Completed
Tonari no Kaibutsu-kun,"['Comedy', 'Romance', 'School', 'Shoujo']",Completed
Tonari no Seki-kun,"['Comedy', 'School', 'Seinen']",Completed
Tonikaku Kawaii,"['Comedy', 'Romance', 'Shounen']",Completed
Tonikaku Kawaii 2nd Season,"['Comedy', 'Romance', 'Shounen']",Completed
Tonikaku Kawaii: Kaisou,"['Comedy', 'Romance', 'Shounen']",Completed
Toradora!,"['Drama', 'Love Polygon', 'Romance', 'School']",Completed
Tsuki ga Kirei,"['Romance', 'School']",Completed
Tsurezure Children,"['Comedy', 'Romance', 'School', 'Shounen']",Completed
Tsurune: Kazemai Koukou Kyuudou-bu,"['School', 'Sports']",Completed
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy']",Completed
Ueno-san wa Bukiyou,"['Comedy', 'Love Status Quo', 'School', 'Seinen']",Completed
Undead Girl Murder Farce,"['Adult Cast', 'Detective', 'Fantasy', 'Historical', 'Mystery', 'Urban Fantasy', 'Vampire']",Completed
Undead Unluck,"['Action', 'Comedy', 'Shounen', 'Super Power']",Completed
Urusei Yatsura (2022),"['Comedy', 'Romance', 'Sci-Fi', 'Shounen']",Completed
Urusei Yatsura (2022) 2nd Season,"['Comedy', 'Romance', 'Sci-Fi', 'Shounen']",Completed
Usagi Drop,"['Childcare', 'Iyashikei', 'Josei', 'Slice of Life']",Completed
Usagi Drop Specials,"['Childcare', 'Iyashikei', 'Josei', 'Slice of Life']",Completed
Uzaki-chan wa Asobitai!,"['Adult Cast', 'Comedy', 'Love Status Quo', 'Romance']",Completed
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"['Comedy', 'Otaku Culture', 'School']",Completed
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru","['Comedy', 'Otaku Culture', 'School']",Completed
Working!!,"['Comedy', 'Love Status Quo', 'Seinen', 'Workplace']",Completed
Working!!!,"['Comedy', 'Romance', 'Seinen', 'Workplace']",Completed
Working'!!,"['Comedy', 'Love Status Quo', 'Seinen', 'Workplace']",Completed
Working'!! Announcement Specials,['Comedy'],Completed
Wotaku ni Koi wa Muzukashii,"['Adult Cast', 'Comedy', 'Otaku Culture', 'Romance', 'Workplace']",Completed
WWW.Working!!,"['Comedy', 'Workplace']",Completed
Yagate Kimi ni Naru,"['Drama', 'Girls Love', 'School']",Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"['Comedy', 'Love Polygon', 'Romance', 'School']",Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,"['Comedy', 'Love Polygon', 'Romance', 'School']",Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"['Comedy', 'Love Polygon', 'Romance', 'School']",Completed
Yakusoku no Neverland,"['Mystery', 'Psychological', 'Shounen', 'Survival', 'Suspense']",Completed
Yamada-kun to 7-nin no Majo,"['Comedy', 'Harem', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']",Completed
Yesterday wo Utatte,"['Adult Cast', 'Drama', 'Love Polygon', 'Romance', 'Seinen']",Completed
Yofukashi no Uta,"['Romance', 'Shounen', 'Supernatural', 'Vampire']",Completed
Youjo Senki,"['Action', 'Fantasy', 'Isekai', 'Military', 'Reincarnation']",Completed
Youjo Senki: Sabaku no Pasta Daisakusen,"['Action', 'Fantasy', 'Isekai', 'Military', 'Reincarnation']",Completed
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,"['Drama', 'Psychological', 'School', 'Suspense']",Completed
Yuragi-sou no Yuuna-san,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Shounen', 'Supernatural']",Completed
Yuru Yuri,"['Award Winning', 'CGDCT', 'Comedy', 'Gag Humor', 'Girls Love', 'School']",Completed
Yuru Yuri♪♪,"['CGDCT', 'Comedy', 'Gag Humor', 'Girls Love', 'School']",Completed
"Yuusha, Yamemasu","['Action', 'Adventure', 'Comedy', 'Fantasy']",Completed
"Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na","['Action', 'Adventure', 'Comedy', 'Fantasy']",Completed
Zan Sayonara Zetsubou Sensei,"['Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']",Completed
Zoku Sayonara Zetsubou Sensei,"['Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']",Completed
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,"['Action', 'Adult Cast', 'Comedy', 'Gore', 'Horror', 'Seinen', 'Survival', 'Suspense']",Completed
