Title,Genres,Rank,Average Score
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"['Action', 'Adventure', 'Shounen', 'Supernatural']",60,
Code Geass: Hangyaku no Lelouch,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",61,
Shiguang Dailiren: Yingdu Pian,"['Adult Cast', 'Drama', 'Super Power', 'Time Travel']",62,
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"['Adult Cast', 'Drama', 'Historical', 'Josei', 'Love Polygon', 'Performing Arts']",63,
Look Back,"['Drama', 'Otaku Culture', 'Shounen']",64,
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', 'Adult Cast', 'Drama', 'Historical', 'Romance', 'Samurai', 'Shounen']",65,
Mushishi Zoku Shou,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",66,
Mo Dao Zu Shi: Wanjie Pian,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Reincarnation']",67,
Great Teacher Onizuka,"['Comedy', 'Delinquents', 'School', 'Shounen', 'Workplace']",68,
Violet Evergarden,['Drama'],69,
Hajime no Ippo: New Challenger,"['Combat Sports', 'Shounen', 'Sports']",70,
Howl no Ugoku Shiro,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",71,
Mononoke Hime,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",72,
Tian Guan Cifu Er,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']",73,
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"['Action', 'Fantasy', 'Urban Fantasy']",74,
Mushishi,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",75,
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",76,
Odd Taxi,"['Adult Cast', 'Anthropomorphic', 'Award Winning', 'Drama', 'Mystery', 'Organized Crime', 'Suspense']",77,
Made in Abyss,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",78,
Natsume Yuujinchou Shi,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",79,
Shigatsu wa Kimi no Uso,"['Drama', 'Love Polygon', 'Music', 'Romance', 'School', 'Shounen']",80,
Dandadan,"['Action', 'Comedy', 'Shounen', 'Supernatural']",81,
Bungou Stray Dogs 5th Season,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Vampire']",82,
Haikyuu!! Movie: Gomisuteba no Kessen,"['School', 'Shounen', 'Sports', 'Team Sports']",83,
Shiguang Dailiren II,"['Adult Cast', 'Drama', 'Mystery', 'Super Power', 'Suspense', 'Time Travel']",84,
Shingeki no Kyojin Season 3,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",85,
Tengen Toppa Gurren Lagann,"['Action', 'Adventure', 'Award Winning', 'Mecha', 'Sci-Fi']",86,
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"['Comedy', 'Romance', 'School', 'Seinen']",87,
Made in Abyss: Retsujitsu no Ougonkyou,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",88,
Ping Pong the Animation,"['Award Winning', 'Drama', 'Seinen', 'Sports']",89,
Death Note,"['Psychological', 'Shounen', 'Supernatural', 'Suspense']",90,
Haikyuu!! Second Season,"['School', 'Shounen', 'Sports', 'Team Sports']",91,
"""Oshi no Ko"" 2nd Season","['Drama', 'Reincarnation', 'Seinen', 'Showbiz']",92,
Cyberpunk: Edgerunners,"['Action', 'Gore', 'Organized Crime', 'Sci-Fi']",93,
Dungeon Meshi,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet', 'Seinen']",94,
Hajime no Ippo: Rising,"['Combat Sports', 'Shounen', 'Sports']",95,
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",96,
